,appearences,assists,blocks,captain,dispossesed,goals,hit_post,injured,inside_box_saves,interceptions,lineups,minutes,number,player_id,position_id,redcards,saves,substitute_in,substitute_out,substitutes_on_bench,tackles,yellowcards,yellowred
19,2,0,,0,,1,,FALSE,,,2,180,,6971161,4,0,,0,0,0,,0,0
0,6,0,,0,,0,,FALSE,,,6,540,1,30290,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,13,30432,1,0,,0,0,6,,0,0
2,6,0,,0,,3,,FALSE,,,6,539,3,29742,2,0,,0,1,0,,3,0
3,0,0,,0,,0,,FALSE,,,0,0,4,32916,2,0,,0,0,5,,0,0
4,6,0,,0,,0,,FALSE,,,6,540,5,29707,2,0,,0,0,0,,1,0
5,0,0,,0,,0,,FALSE,,,0,0,15,6971234,2,0,,0,0,4,,0,0
6,5,0,,0,,0,,FALSE,,,5,450,16,29576,2,0,,0,0,1,,2,0
7,5,0,,0,,0,,FALSE,,,5,450,18,29830,2,0,,0,0,0,,3,0
8,6,0,,0,,0,,FALSE,,,6,534,20,29920,2,0,,0,1,0,,1,0
9,0,0,,0,,0,,FALSE,,,0,0,31,30193,2,0,,0,0,1,,0,0
10,6,0,,0,,1,,FALSE,,,6,535,2,3649,3,0,,0,1,0,,1,0
11,6,0,,0,,1,,FALSE,,,5,443,6,29544,3,0,,1,2,1,,1,0
12,5,0,,0,,0,,FALSE,,,5,364,8,30170,3,0,,0,4,1,,1,0
13,6,0,,0,,3,,FALSE,,,6,540,10,29663,3,0,,0,0,0,,0,0
14,3,0,,0,,0,,FALSE,,,1,93,19,29796,3,0,,2,1,4,,0,0
15,0,0,,0,,0,,FALSE,,,0,0,23,22890,3,0,,0,0,2,,0,0
16,4,0,,0,,0,,FALSE,,,0,9,25,29741,3,0,,4,0,6,,0,0
17,4,0,,0,,1,,FALSE,,,2,204,9,25021,4,0,,2,0,3,,0,0
18,6,0,,0,,1,,FALSE,,,2,171,11,6971235,4,0,,4,2,4,,0,0
19,2,0,,0,,0,,FALSE,,,0,61,14,29930,4,0,,2,0,2,,1,0
20,6,0,,0,,2,,FALSE,,,5,467,22,29600,4,0,,1,4,1,,0,0
21,0,0,,0,,0,,FALSE,,,0,0,33,327086,4,0,,0,0,1,,0,0
