,appearences,assists,blocks,captain,dispossesed,goals,hit_post,injured,inside_box_saves,interceptions,lineups,minutes,number,player_id,position_id,redcards,saves,substitute_in,substitute_out,substitutes_on_bench,tackles,yellowcards,yellowred
12,4,0,,0,,0,,FALSE,,,2,181,,4543,2,0,,2,1,3,,1,0
13,3,0,,0,,0,,FALSE,,,3,270,,1920,2,0,,0,0,0,,0,0
14,2,0,,0,,0,,FALSE,,,2,180,,4091,2,0,,0,0,0,,0,0
15,0,0,,0,,0,,FALSE,,,0,0,,32738,2,0,,0,0,1,,0,0
16,8,0,,0,,1,,FALSE,,,3,336,7,31840,3,0,,5,2,5,,0,0
17,6,1,,0,,0,,FALSE,,,5,393,9,702,3,0,,1,3,1,,3,0
18,3,1,,0,,0,,FALSE,,,3,258,10,31138,3,0,,0,2,0,,0,0
19,1,0,,0,,0,,FALSE,,,0,44,11,31193,3,0,,1,0,5,,0,0
20,7,0,,0,,0,,FALSE,,,7,585,12,31153,3,0,,0,3,1,,2,0
21,3,0,,0,,0,,FALSE,,,1,107,18,31270,3,0,,2,1,2,,0,0
22,4,1,,0,,0,,FALSE,,,3,239,27,29791,3,0,,1,2,5,,0,0
23,1,0,,0,,0,,FALSE,,,0,33,,31824,3,0,,1,0,1,,0,0
24,0,0,,0,,0,,FALSE,,,0,0,,32298,3,0,,0,0,3,,0,0
25,1,0,,0,,1,,FALSE,,,0,61,,4783,3,0,,1,0,3,,0,0
26,8,0,,0,,1,,FALSE,,,6,515,13,30979,4,0,,2,2,2,,0,0
27,4,1,,0,,1,,FALSE,,,2,162,20,30547,4,0,,2,2,2,,0,0
28,8,0,,0,,5,,FALSE,,,8,663,25,22887,4,0,,0,2,0,,2,0
29,0,0,,0,,0,,FALSE,,,0,0,29,32302,4,0,,0,0,1,,0,0
30,1,0,,0,,0,,FALSE,,,0,57,,32937,4,0,,1,0,1,,0,0
0,4,0,,0,,0,,FALSE,,,4,360,1,26722,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,21,83447,1,0,,0,0,4,,0,0
2,4,0,,0,,0,,FALSE,,,4,360,2,61521,2,0,,0,0,0,,0,0
3,4,2,,0,,0,,FALSE,,,4,360,3,32431,2,0,,0,0,0,,0,0
4,3,0,,0,,0,,FALSE,,,3,270,4,30313,2,0,,0,0,1,,1,0
5,2,0,,0,,0,,FALSE,,,1,90,15,83277,2,0,,1,0,2,,0,0
6,4,0,,0,,1,,FALSE,,,4,360,25,24613,2,0,,0,0,0,,2,0
7,1,0,,0,,0,,FALSE,,,0,19,,83916,2,0,,1,0,1,,0,0
8,2,0,,0,,0,,FALSE,,,2,143,6,23464,3,0,,0,1,2,,0,0
9,0,0,,0,,0,,FALSE,,,0,0,7,84310,3,0,,0,0,2,,0,0
10,4,0,,0,,0,,FALSE,,,4,360,8,33677,3,0,,0,1,0,,0,0
11,4,0,,0,,1,,FALSE,,,4,321,9,83720,3,0,,0,2,0,,0,0
12,3,0,,0,,1,,FALSE,,,3,270,18,1573,3,0,,0,0,0,,3,0
13,1,0,,0,,0,,FALSE,,,0,32,19,35088,3,0,,1,0,1,,0,0
14,3,0,,0,,0,,FALSE,,,0,84,22,4377,3,0,,3,0,4,,1,0
15,3,0,,0,,0,,FALSE,,,1,90,24,83836,3,0,,2,1,2,,0,0
16,4,0,,0,,0,,FALSE,,,4,333,32,84096,3,0,,0,2,0,,1,0
17,0,0,,0,,0,,FALSE,,,0,0,36,84334,3,0,,0,0,2,,0,0
18,2,0,,0,,0,,FALSE,,,2,177,10,25887,4,0,,0,1,0,,0,0
19,4,0,,0,,1,,FALSE,,,4,316,11,4088,4,0,,0,1,0,,2,0
20,1,0,,0,,0,,FALSE,,,0,15,23,33531,4,0,,1,0,4,,0,0
21,0,0,,0,,0,,FALSE,,,0,0,33,84268,4,0,,0,0,3,,0,0
0,2,0,,0,,0,,FALSE,,,2,180,12,84533,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,13,151218,1,0,,0,0,2,,0,0
2,2,0,,0,,0,,FALSE,,,2,180,2,150057,2,0,,0,0,0,,0,0
3,2,0,,0,,0,,FALSE,,,2,146,26,150373,2,0,,0,2,0,,0,0
4,2,0,,0,,0,,FALSE,,,2,180,27,83646,2,0,,0,0,0,,0,0
5,2,0,,0,,0,,FALSE,,,2,180,28,150936,2,0,,0,0,0,,0,0
6,2,0,,0,,0,,FALSE,,,2,165,8,4283,3,0,,0,1,0,,0,0
7,2,0,,0,,0,,FALSE,,,2,180,14,33717,3,0,,0,0,0,,0,0
8,1,0,,0,,0,,FALSE,,,0,5,16,26823,3,0,,1,0,2,,0,0
9,2,0,,0,,0,,FALSE,,,2,180,20,96084,3,0,,0,0,0,,0,0
10,0,0,,0,,0,,FALSE,,,0,0,21,151466,3,0,,0,0,1,,0,0
11,0,0,,0,,0,,FALSE,,,0,0,22,150950,3,0,,0,0,2,,0,0
12,0,0,,0,,0,,FALSE,,,0,0,25,150832,3,0,,0,0,1,,0,0
13,2,0,,0,,0,,FALSE,,,2,165,9,149942,4,0,,0,1,0,,1,0
14,1,0,,0,,0,,FALSE,,,0,15,10,61092,4,0,,1,0,2,,0,0
15,2,0,,0,,0,,FALSE,,,2,159,15,24785,4,0,,0,1,0,,0,0
16,2,0,,0,,0,,FALSE,,,0,50,19,62959,4,0,,2,0,2,,0,0
17,2,0,,0,,0,,FALSE,,,0,44,23,149946,4,0,,2,0,2,,0,0
18,2,0,,0,,0,,FALSE,,,2,151,75,60369,4,0,,0,1,0,,0,0
0,4,0,,0,,0,,FALSE,,,4,360,12,1593,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,91,155172,1,0,,0,0,4,,0,0
2,0,0,,0,,0,,FALSE,,,0,0,2,75521,2,0,,0,0,3,,0,0
3,0,0,,0,,0,,FALSE,,,0,0,4,96890,2,0,,0,0,2,,0,0
4,4,0,,0,,0,,FALSE,,,4,360,15,77889,2,0,,0,0,0,,1,0
5,4,0,,0,,0,,FALSE,,,4,360,17,154005,2,0,,0,0,0,,0,0
6,1,0,,0,,0,,FALSE,,,0,4,19,133972,2,0,,1,0,1,,0,0
7,4,0,,0,,0,,FALSE,,,4,360,25,154251,2,0,,0,0,0,,0,0
8,4,1,,0,,0,,FALSE,,,4,360,28,154697,2,0,,0,0,0,,0,0
9,4,0,,0,,0,,FALSE,,,4,360,3,153630,3,0,,0,0,0,,0,0
10,4,0,,0,,0,,FALSE,,,3,273,8,33793,3,0,,1,2,1,,2,0
11,3,1,,0,,0,,FALSE,,,3,234,18,154868,3,0,,0,3,0,,0,0
12,4,0,,0,,1,,FALSE,,,1,113,20,35061,3,0,,3,1,3,,1,0
13,4,0,,0,,0,,FALSE,,,3,294,21,72388,3,0,,1,0,1,,0,0
14,2,0,,0,,0,,FALSE,,,1,70,23,75429,3,0,,1,1,3,,0,0
15,4,1,,0,,5,,FALSE,,,4,358,32,153592,3,0,,0,1,0,,1,0
16,4,1,,0,,2,,FALSE,,,4,353,33,7237,3,0,,0,2,0,,0,0
17,0,0,,0,,0,,FALSE,,,0,0,7,9678,4,0,,0,0,1,,0,0
18,3,0,,0,,1,,FALSE,,,0,83,9,1577,4,0,,3,0,4,,0,0
19,1,0,,0,,0,,FALSE,,,0,2,11,77606,4,0,,1,0,3,,0,0
20,0,0,,0,,0,,FALSE,,,0,0,45,155439,4,0,,0,0,1,,0,0
21,1,0,,0,,0,,FALSE,,,1,16,70,6197,4,0,,0,1,1,,0,0
0,12,0,,0,,0,,FALSE,,,12,1080,25,84540,1,0,,0,0,0,,2,0
1,3,0,,0,,0,,FALSE,,,3,234,2,30514,2,0,,0,1,3,,0,0
2,10,2,,0,,0,,FALSE,,,10,895,3,190367,2,0,,0,1,0,,0,0
3,10,0,,0,,0,,FALSE,,,10,900,4,130152,2,0,,0,0,0,,3,0
4,12,0,,0,,0,,FALSE,,,12,1075,6,84527,2,0,,0,1,0,,4,0
5,3,0,,0,,0,,FALSE,,,3,270,18,15345,2,0,,0,0,6,,0,0
6,10,0,,0,,0,,FALSE,,,10,900,20,56526,2,0,,0,1,0,,0,0
7,10,0,,0,,0,,FALSE,,,10,873,21,63138,2,1,,0,1,0,,4,0
8,4,0,,0,,0,,FALSE,,,3,237,32,190855,2,0,,1,1,7,,2,0
9,0,0,,0,,0,,FALSE,,,0,0,36,191257,2,0,,0,0,2,,0,0
10,10,0,,0,,0,,FALSE,,,10,900,8,61750,3,0,,0,0,0,,3,1
11,3,0,,0,,0,,FALSE,,,0,22,11,25108,3,0,,3,0,4,,0,0
12,9,1,,0,,1,,FALSE,,,3,357,14,84534,3,0,,6,3,8,,1,0
13,3,0,,0,,0,,FALSE,,,2,211,22,153222,3,0,,1,1,5,,1,0
14,4,0,,0,,0,,FALSE,,,0,19,31,190937,3,0,,4,0,8,,0,0
15,1,0,,0,,0,,FALSE,,,0,0,35,191255,3,0,,1,0,2,,0,0
16,11,0,,0,,1,,FALSE,,,8,725,7,62136,4,0,,3,5,4,,5,0
17,12,1,,0,,7,,FALSE,,,12,1043,9,1145,4,0,,0,3,0,,3,0
18,7,1,,0,,0,,FALSE,,,0,76,15,190896,4,0,,7,0,11,,0,0
19,0,0,,0,,0,,FALSE,,,0,0,17,177843,4,0,,0,0,2,,0,0
20,12,1,,0,,2,,FALSE,,,12,915,24,62896,4,0,,0,9,0,,0,0
21,4,0,,0,,0,,FALSE,,,0,95,26,129472,4,0,,4,0,10,,1,0
22,12,1,,0,,2,,FALSE,,,12,1052,33,32586,4,0,,0,3,0,,1,0
0,0,0,,0,,0,,FALSE,,,0,0,1,112419,1,0,,0,0,2,,0,0
1,4,0,,0,,0,,FALSE,,,4,360,45,83367,1,0,,0,0,0,,0,0
2,0,0,,0,,0,,FALSE,,,0,0,87,112551,1,0,,0,0,2,,0,0
3,1,0,,0,,0,,FALSE,,,1,90,13,112184,2,0,,0,0,1,,0,0
4,1,0,,0,,0,,FALSE,,,0,18,14,112047,2,0,,1,0,3,,0,0
5,4,0,,0,,0,,FALSE,,,4,354,17,112393,2,0,,0,1,0,,1,0
6,4,0,,0,,0,,FALSE,,,4,360,18,112830,2,0,,0,0,0,,0,0
7,1,0,,0,,0,,FALSE,,,0,25,21,113575,2,0,,1,0,1,,0,0
8,0,0,,0,,0,,FALSE,,,0,0,24,87305,2,0,,0,0,3,,0,0
9,1,0,,0,,0,,FALSE,,,0,6,25,113907,2,0,,1,0,3,,0,0
10,4,0,,0,,0,,FALSE,,,4,360,69,112552,2,0,,0,0,0,,1,0
11,0,0,,0,,0,,FALSE,,,0,0,4,35953,3,0,,0,0,1,,0,0
12,4,0,,0,,0,,FALSE,,,2,169,6,27123,3,0,,2,1,2,,0,0
13,3,0,,0,,0,,FALSE,,,2,138,8,74163,3,0,,1,0,1,,1,1
14,3,0,,0,,1,,FALSE,,,2,133,10,71069,3,0,,1,1,1,,0,0
15,4,0,,0,,0,,FALSE,,,2,236,27,112554,3,0,,2,2,2,,1,0
16,4,0,,0,,0,,FALSE,,,4,360,33,5669,3,0,,0,0,0,,0,0
17,3,0,,0,,0,,FALSE,,,3,223,55,112056,3,0,,0,3,0,,0,0
18,4,0,,0,,0,,FALSE,,,4,356,77,113160,3,0,,0,1,0,,0,0
19,2,0,,0,,0,,FALSE,,,2,152,19,113823,4,0,,0,1,0,,0,0
20,4,0,,0,,3,,FALSE,,,4,353,26,60370,4,0,,0,1,0,,1,0
21,2,0,,0,,0,,FALSE,,,1,52,44,61055,4,0,,1,1,3,,0,0
22,3,0,,0,,0,,FALSE,,,1,163,88,56463,4,0,,2,0,3,,0,0
0,0,0,,0,,0,,FALSE,,,0,0,1,145452,1,0,,0,0,3,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,25,145340,1,0,,0,0,1,,0,0
2,4,0,,0,,0,,FALSE,,,4,360,32,76598,1,0,,0,0,0,,0,0
3,4,0,,0,,0,,FALSE,,,4,360,15,145689,2,0,,0,0,0,,1,0
4,2,0,,0,,0,,FALSE,,,2,180,17,63067,2,0,,0,0,0,,0,0
5,2,0,,0,,0,,FALSE,,,2,180,23,146275,2,0,,0,0,2,,0,0
6,4,0,,0,,1,,FALSE,,,4,360,30,54806,2,0,,0,0,0,,0,0
7,2,0,,0,,0,0,FALSE,,,2,180,88,146282,2,0,,0,0,2,,0,0
8,4,1,,0,,0,,FALSE,,,3,216,8,145130,3,0,,1,2,1,,2,0
9,2,0,,0,,0,,FALSE,,,2,180,14,145148,3,0,,0,0,2,,0,0
10,2,0,,0,,0,,FALSE,,,0,76,18,146286,3,0,,2,0,4,,0,0
11,4,0,,0,,0,,FALSE,,,4,345,20,146154,3,0,,0,1,0,,0,0
12,4,0,,0,,0,,FALSE,,,4,321,21,146291,3,0,,0,1,0,,2,1
13,0,0,,0,,0,,FALSE,,,0,0,91,145212,3,0,,0,0,2,,0,0
14,3,0,,0,,0,,FALSE,,,1,87,9,146271,4,0,,2,1,3,,1,0
15,3,0,,0,,0,,FALSE,,,1,76,10,146272,4,0,,2,1,3,,0,0
16,4,0,,0,,1,,FALSE,,,2,161,11,146067,4,0,,2,2,2,,0,0
17,4,0,,0,,1,,FALSE,,,3,279,19,22911,4,0,,1,1,1,,0,0
18,4,0,,0,,2,,FALSE,,,3,293,29,68282,4,0,,1,1,1,,0,0
19,4,0,,0,,1,,FALSE,,,3,272,90,145686,4,0,,1,2,1,,1,0
0,6,0,,0,,0,,FALSE,,,6,540,22,23742,1,0,,0,0,0,,1,0
1,0,0,,0,,0,,FALSE,,,0,0,33,24849,1,0,,0,0,6,,0,0
2,6,0,,0,,0,,FALSE,,,6,540,2,24597,2,0,,0,0,0,,1,0
3,5,0,,0,,0,,FALSE,,,5,431,3,24655,2,0,,0,0,0,,3,1
4,5,0,,0,,0,,FALSE,,,5,450,4,23528,2,0,,0,0,1,,2,0
5,4,0,,0,,0,,FALSE,,,4,280,5,24519,2,0,,0,1,0,,0,0
6,1,0,,0,,0,,FALSE,,,1,90,6,1646,2,0,,0,0,2,,0,0
7,2,0,,0,,0,,FALSE,,,1,100,24,24604,2,0,,1,0,5,,0,0
8,5,0,,0,,0,,FALSE,,,4,396,26,24032,2,0,,1,1,2,,1,0
9,3,0,,0,,0,,FALSE,,,0,74,,25399,2,0,,3,0,4,,1,0
10,0,0,,0,,0,,FALSE,,,0,0,8,23580,3,0,,0,0,3,,0,0
11,6,1,,0,,2,,FALSE,,,6,540,10,24594,3,0,,0,0,0,,2,0
12,6,0,,0,,1,,FALSE,,,6,484,16,24864,3,0,,0,3,0,,0,0
13,6,0,,0,,3,,FALSE,,,6,501,20,23416,3,0,,0,3,0,,0,0
14,5,0,,0,,0,,FALSE,,,5,419,25,24517,3,0,,0,2,0,,1,0
15,3,0,,0,,0,,FALSE,,,1,121,32,23678,3,0,,2,1,4,,0,0
16,0,0,,0,,0,,FALSE,,,0,0,,25588,3,0,,0,0,1,,0,0
17,4,0,,0,,0,,FALSE,,,4,286,9,24060,4,0,,0,3,1,,1,0
18,5,1,,0,,1,,FALSE,,,2,255,19,25355,4,0,,3,1,4,,0,0
19,5,0,,0,,1,,FALSE,,,1,167,21,25354,4,0,,4,0,5,,2,0
20,0,0,,0,,0,,FALSE,,,0,0,,25531,4,0,,0,0,1,,0,0
21,4,2,,0,,0,,FALSE,,,3,242,,25356,4,0,,1,1,2,,0,0
22,1,0,,0,,0,,FALSE,,,0,5,,24927,4,0,,1,0,1,,0,0
0,3,0,,0,,0,,FALSE,,,3,270,1,95367,1,0,,0,0,1,,0,0
1,1,0,,0,,0,,FALSE,,,1,90,16,95238,1,0,,0,0,3,,0,0
2,4,1,,0,,1,,FALSE,,,4,341,2,94931,2,0,,0,1,0,,1,0
3,0,0,,0,,0,0,FALSE,,,0,0,13,95369,2,0,,0,0,2,,0,0
4,4,0,,0,,0,,FALSE,,,4,360,14,30972,2,0,,0,0,0,,1,0
5,1,0,,0,,0,,FALSE,,,0,0,15,95699,2,0,,1,0,3,,0,0
6,4,0,,0,,0,0,FALSE,,,4,354,18,94548,2,0,,0,1,0,,1,0
7,1,0,,0,,0,,FALSE,,,1,90,22,458,2,0,,0,0,3,,0,0
8,4,0,,0,,0,,FALSE,,,4,360,23,1111,2,0,,0,0,0,,1,0
9,3,0,,0,,0,,FALSE,,,3,270,25,94283,2,0,,0,0,0,,1,0
10,4,0,,0,,1,,FALSE,,,4,332,4,94650,3,0,,0,1,0,,1,0
11,4,0,,0,,0,,FALSE,,,4,347,5,1030,3,0,,0,1,0,,0,0
12,3,0,,0,,0,,FALSE,,,1,126,6,61146,3,0,,2,1,3,,0,0
13,2,0,,0,,0,,FALSE,,,1,90,8,72,3,0,,1,1,2,,0,0
14,2,0,,0,,0,,FALSE,,,0,47,17,4479,3,0,,2,0,2,,0,0
15,2,0,,0,,0,,FALSE,,,2,180,24,94556,3,0,,0,0,0,,0,0
16,2,0,,0,,0,,FALSE,,,1,67,,62890,3,0,,1,1,1,,0,0
17,2,0,,0,,0,0,FALSE,,,2,180,9,62533,4,0,,0,1,2,,1,0
18,4,2,,0,,1,,FALSE,,,2,189,20,6361,4,0,,2,2,2,,1,0
19,3,0,,0,,0,0,FALSE,,,1,100,26,95221,4,0,,2,1,3,,1,0
20,0,0,,0,,0,,FALSE,,,0,0,27,1472,4,0,,0,0,0,,0,0
0,4,0,,0,,0,,FALSE,,,4,360,1,61081,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,16,6141,1,0,,0,0,4,,0,0
2,4,0,,0,,0,,FALSE,,,4,360,5,7274,2,0,,0,0,0,,1,0
3,4,0,,0,,0,,FALSE,,,4,331,6,60697,2,0,,0,1,0,,3,0
4,2,0,,0,,0,,FALSE,,,2,178,8,495,2,0,,0,1,0,,0,0
5,0,0,,0,,0,,FALSE,,,0,0,20,26598,2,0,,0,0,1,,0,0
6,0,0,,0,,0,,FALSE,,,0,0,24,61709,2,0,,0,0,1,,0,0
7,0,0,,0,,0,,FALSE,,,0,0,30,62765,2,0,,0,0,4,,0,0
8,3,0,,0,,0,,FALSE,,,3,270,36,61697,2,0,,0,0,1,,0,0
9,4,0,,0,,0,,FALSE,,,4,360,37,670,2,0,,0,0,0,,3,0
10,1,0,,0,,0,,FALSE,,,0,2,66,26144,2,0,,1,0,2,,0,0
11,2,0,,0,,0,,FALSE,,,2,179,4,62418,3,1,,0,0,0,,1,0
12,0,0,,0,,0,,FALSE,,,0,0,17,62476,3,0,,0,0,1,,0,0
13,1,0,,0,,0,,FALSE,,,1,90,23,62407,3,0,,0,0,0,,0,0
14,2,0,,0,,0,,FALSE,,,2,159,25,62409,3,0,,0,1,0,,0,0
15,2,0,,0,,0,,FALSE,,,2,144,33,60322,3,0,,0,1,0,,1,0
16,2,0,,0,,0,,FALSE,,,0,40,42,6135,3,0,,2,0,4,,0,0
17,1,0,,0,,0,,FALSE,,,1,90,45,29530,3,0,,0,0,0,,0,0
18,4,0,,0,,0,,FALSE,,,3,185,63,696,3,0,,1,3,1,,1,0
19,2,0,,0,,0,,FALSE,,,2,161,67,61881,3,0,,0,1,1,,0,0
20,4,1,,0,,0,,FALSE,,,4,360,10,31278,4,0,,0,0,0,,1,0
21,1,0,,0,,0,,FALSE,,,0,32,14,61693,4,0,,1,0,2,,0,0
22,4,1,,0,,1,,FALSE,,,1,129,18,62428,4,0,,3,1,3,,0,0
23,3,0,,0,,0,,FALSE,,,2,159,32,6227,4,0,,1,2,1,,1,0
24,1,0,,0,,0,,FALSE,,,1,90,39,61544,4,0,,0,0,0,,0,0
25,4,0,,0,,1,,FALSE,,,2,280,40,7896,4,0,,2,0,2,,1,0
0,4,0,,0,,0,,FALSE,,,4,360,1,83685,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,22,83817,1,0,,0,0,4,,0,0
2,4,1,,0,,0,,FALSE,,,4,302,2,82881,2,0,,0,2,0,,0,0
3,4,0,,0,,0,,FALSE,,,4,360,5,82757,2,0,,0,0,0,,1,0
4,2,0,,0,,0,,FALSE,,,0,58,20,62855,2,0,,2,0,2,,0,0
5,4,0,,0,,0,,FALSE,,,4,360,26,83861,2,0,,0,0,0,,0,0
6,4,1,,0,,0,,FALSE,,,4,332,31,84236,2,0,,0,1,0,,1,0
7,0,0,,0,,0,,FALSE,,,0,0,32,84103,2,0,,0,0,4,,0,0
8,1,0,,0,,0,,FALSE,,,0,28,6,22995,3,0,,1,0,2,,0,0
9,3,0,,0,,0,,FALSE,,,3,268,8,83384,3,0,,0,1,0,,0,0
10,2,0,,0,,0,,FALSE,,,1,92,9,51738,3,0,,1,0,3,,0,0
11,3,0,,0,,0,,FALSE,,,3,237,14,83453,3,0,,0,1,1,,0,0
12,1,0,,0,,0,,FALSE,,,0,4,16,84227,3,0,,1,0,1,,0,0
13,4,0,,0,,0,,FALSE,,,4,316,21,33452,3,0,,0,1,0,,0,0
14,4,0,,0,,1,,FALSE,,,3,310,23,84098,3,0,,1,1,1,,1,0
15,1,0,,0,,0,,FALSE,,,1,46,25,84235,3,0,,0,1,2,,0,0
16,1,0,,0,,0,,FALSE,,,0,17,30,84104,3,0,,1,0,2,,0,0
17,3,1,,0,,0,,FALSE,,,2,195,7,23130,4,0,,1,1,1,,0,0
18,4,0,,0,,0,,FALSE,,,1,166,11,954,4,0,,3,1,3,,0,0
19,4,0,,0,,2,,FALSE,,,4,360,18,83083,4,0,,0,0,0,,1,0
20,1,0,,0,,0,,FALSE,,,0,14,28,84228,4,0,,1,0,2,,0,0
21,2,0,,0,,0,,FALSE,,,2,135,33,84188,4,0,,0,2,0,,0,0
0,0,0,,0,,0,,FALSE,,,0,0,1,148605,1,0,,0,0,2,,0,0
1,2,0,,0,,0,,FALSE,,,2,180,12,8634,1,0,,0,0,0,,1,0
2,2,0,,0,,0,,FALSE,,,2,144,2,148220,2,1,,0,0,0,,0,0
3,2,0,,0,,0,,FALSE,,,2,180,3,148008,2,0,,0,0,0,,0,0
4,2,0,,0,,0,,FALSE,,,2,180,5,10712,2,0,,0,0,0,,1,0
5,2,0,,0,,0,,FALSE,,,2,173,15,148326,2,0,,0,1,0,,0,0
6,1,0,,0,,0,,FALSE,,,0,34,16,148844,2,0,,1,0,2,,0,0
7,2,0,,0,,0,,FALSE,,,2,180,4,148441,3,0,,0,0,0,,0,0
8,2,0,,0,,0,,FALSE,,,2,180,7,13533,3,0,,0,0,0,,0,0
9,1,0,,0,,0,,FALSE,,,0,7,8,148004,3,0,,1,0,2,,0,0
10,2,0,,0,,0,,FALSE,,,2,153,11,148058,3,0,,0,1,0,,1,0
11,2,0,,0,,0,,FALSE,,,2,171,17,148023,3,0,,0,1,0,,0,0
12,1,0,,0,,0,,FALSE,,,0,28,18,148353,3,0,,1,0,2,,0,0
13,0,0,,0,,0,,FALSE,,,0,0,22,149441,3,0,,0,0,1,,0,0
14,2,0,,0,,0,,FALSE,,,2,146,23,148848,3,0,,0,1,0,,0,0
15,1,0,,0,,0,,FALSE,,,0,9,26,148009,3,0,,1,0,2,,0,0
16,2,0,,0,,0,,FALSE,,,1,89,10,148031,4,0,,1,1,1,,0,0
17,1,0,,0,,0,,FALSE,,,1,90,19,9357,4,0,,0,1,0,,0,0
18,1,0,,0,,0,,FALSE,,,0,0,20,148627,4,0,,1,0,2,,0,0
0,0,0,,0,,0,,FALSE,,,0,0,1,336061,1,0,,0,0,1,,0,0
1,11,0,,0,,0,,FALSE,,,11,1019,21,70305,1,1,,0,0,0,,1,0
2,1,0,,0,,0,,FALSE,,,1,90,26,70729,1,0,,0,0,5,,1,0
3,0,0,,0,,0,,FALSE,,,0,0,91,68613,1,0,,0,0,6,,0,0
4,1,0,,0,,0,,FALSE,,,0,17,4,70377,2,0,,1,0,4,,0,0
5,2,0,,0,,0,,FALSE,,,2,163,5,68504,2,0,,0,1,1,,0,0
6,5,0,,0,,0,,FALSE,,,4,429,15,68479,2,0,,1,0,5,,1,0
7,3,0,,0,,0,,FALSE,,,2,223,16,70307,2,0,,1,0,4,,0,0
8,1,0,,0,,0,,FALSE,,,1,90,20,69754,2,0,,0,0,4,,0,0
9,9,0,,0,,1,,FALSE,,,9,840,25,68324,2,0,,0,0,0,,3,0
10,12,1,,0,,0,,FALSE,,,12,1041,27,69869,2,0,,0,1,0,,3,0
11,6,0,,0,,1,,FALSE,,,6,570,55,68856,2,0,,0,0,0,,1,0
12,1,0,,0,,0,,FALSE,,,1,47,77,70332,2,0,,0,1,1,,0,0
13,11,1,,0,,0,,FALSE,,,11,1020,80,32414,2,0,,0,0,0,,3,0
14,11,1,,0,,0,,FALSE,,,10,822,7,36614,3,0,,1,7,1,,1,0
15,12,0,,0,,1,,FALSE,,,9,816,8,70312,3,0,,3,5,3,,3,0
16,8,0,,0,,1,,FALSE,,,1,210,12,70185,3,0,,7,0,11,,1,0
17,10,0,,0,,3,,FALSE,,,8,675,17,70302,3,0,,2,4,3,,2,0
18,11,1,,0,,0,,FALSE,,,11,998,18,68389,3,0,,0,2,1,,3,0
19,4,0,,0,,0,,FALSE,,,3,243,23,68381,3,0,,1,1,7,,1,0
20,7,1,,0,,1,,FALSE,,,0,144,88,70299,3,0,,7,0,10,,0,0
21,9,0,,0,,2,,FALSE,,,9,726,9,32632,4,0,,0,4,1,,3,0
22,2,0,,0,,0,,FALSE,,,0,39,11,69745,4,0,,2,0,3,,0,0
23,12,0,,0,,3,,FALSE,,,12,957,84,69750,4,1,,0,5,0,,2,0
24,11,0,,0,,0,,FALSE,,,7,656,93,24340,4,0,,4,4,5,,1,0
25,1,0,,0,,0,,FALSE,,,1,90,95,24726,4,0,,0,0,1,,0,0
26,6,1,,0,,0,,FALSE,,,1,213,99,70433,4,0,,5,0,7,,1,0
0,1,0,,0,,0,,FALSE,,,1,90,,31796,1,0,,0,0,0,,0,0
1,1,0,,0,,0,,FALSE,,,1,90,,198006,1,0,,0,0,1,,0,0
2,0,0,,0,,0,,FALSE,,,0,0,,36853,1,0,,0,0,1,,0,0
3,2,0,,0,,0,,FALSE,,,2,136,,94762,2,0,,0,1,0,,0,0
4,1,0,,0,,0,,FALSE,,,1,90,,23400,2,0,,0,0,1,,0,0
5,2,0,,0,,0,,FALSE,,,2,180,,76924,2,0,,0,0,0,,0,0
6,2,0,,0,,0,,FALSE,,,2,158,,33349,2,1,,0,0,0,,0,0
7,2,0,,0,,0,,FALSE,,,2,180,,197485,2,0,,0,0,0,,1,0
8,0,0,,0,,0,,FALSE,,,0,0,,197755,2,0,,0,0,2,,0,0
9,1,0,,0,,0,,FALSE,,,0,15,,170681,2,0,,1,0,2,,0,0
10,2,0,,0,,0,,FALSE,,,2,180,,76610,3,0,,0,0,0,,1,0
11,2,0,,0,,1,,FALSE,,,2,180,,32575,3,0,,0,0,0,,2,0
12,2,0,,0,,0,,FALSE,,,2,142,,94612,3,0,,0,2,0,,0,0
13,1,0,,0,,0,,FALSE,,,0,29,,6116,3,0,,1,0,2,,0,0
14,2,0,,0,,0,,FALSE,,,1,119,,197958,3,0,,1,1,1,,0,0
15,2,0,,0,,0,,FALSE,,,2,151,,96986,3,0,,0,1,0,,1,0
16,0,0,,0,,0,,FALSE,,,0,0,,97694,4,0,,0,0,2,,0,0
17,2,0,,0,,0,,FALSE,,,2,180,,52792,4,0,,0,0,0,,0,0
18,2,0,,0,,0,,FALSE,,,0,38,,32742,4,0,,2,0,2,,1,0
0,10,0,,0,,0,,FALSE,,,10,900,1,107912,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,16,169193,1,0,,0,0,8,,0,0
2,0,0,,0,,0,,FALSE,,,0,0,51,170054,1,0,,0,0,2,,0,0
3,7,0,,0,,0,,FALSE,,,5,482,2,169194,2,0,,2,2,5,,0,0
