96,"{'localteam_formation': None, 'visitorteam_formation': None}"
97,"{'localteam_formation': None, 'visitorteam_formation': None}"
98,"{'localteam_formation': None, 'visitorteam_formation': None}"
99,"{'localteam_formation': None, 'visitorteam_formation': None}"
100,"{'localteam_formation': None, 'visitorteam_formation': None}"
101,"{'localteam_formation': None, 'visitorteam_formation': None}"
102,"{'localteam_formation': None, 'visitorteam_formation': None}"
103,"{'localteam_formation': None, 'visitorteam_formation': None}"
104,"{'localteam_formation': None, 'visitorteam_formation': None}"
105,"{'localteam_formation': None, 'visitorteam_formation': None}"
106,"{'localteam_formation': None, 'visitorteam_formation': None}"
107,"{'localteam_formation': None, 'visitorteam_formation': None}"
108,"{'localteam_formation': None, 'visitorteam_formation': None}"
109,"{'localteam_formation': None, 'visitorteam_formation': None}"
110,"{'localteam_formation': None, 'visitorteam_formation': None}"
111,"{'localteam_formation': None, 'visitorteam_formation': None}"
112,"{'localteam_formation': None, 'visitorteam_formation': None}"
113,"{'localteam_formation': None, 'visitorteam_formation': None}"
114,"{'localteam_formation': None, 'visitorteam_formation': None}"
115,"{'localteam_formation': None, 'visitorteam_formation': None}"
116,"{'localteam_formation': None, 'visitorteam_formation': None}"
117,"{'localteam_formation': None, 'visitorteam_formation': None}"
118,"{'localteam_formation': None, 'visitorteam_formation': None}"
119,"{'localteam_formation': None, 'visitorteam_formation': None}"
120,"{'localteam_formation': None, 'visitorteam_formation': None}"
121,"{'localteam_formation': None, 'visitorteam_formation': None}"
122,"{'localteam_formation': None, 'visitorteam_formation': None}"
123,"{'localteam_formation': None, 'visitorteam_formation': None}"
124,"{'localteam_formation': None, 'visitorteam_formation': None}"
125,"{'localteam_formation': None, 'visitorteam_formation': None}"
126,"{'localteam_formation': None, 'visitorteam_formation': None}"
127,"{'localteam_formation': None, 'visitorteam_formation': None}"
128,"{'localteam_formation': None, 'visitorteam_formation': None}"
129,"{'localteam_formation': None, 'visitorteam_formation': None}"
130,"{'localteam_formation': None, 'visitorteam_formation': None}"
131,"{'localteam_formation': None, 'visitorteam_formation': None}"
132,"{'localteam_formation': None, 'visitorteam_formation': None}"
133,"{'localteam_formation': None, 'visitorteam_formation': None}"
134,"{'localteam_formation': None, 'visitorteam_formation': None}"
135,"{'localteam_formation': None, 'visitorteam_formation': None}"
136,"{'localteam_formation': None, 'visitorteam_formation': None}"
137,"{'localteam_formation': None, 'visitorteam_formation': None}"
138,"{'localteam_formation': None, 'visitorteam_formation': None}"
139,"{'localteam_formation': None, 'visitorteam_formation': None}"
140,"{'localteam_formation': None, 'visitorteam_formation': None}"
141,"{'localteam_formation': None, 'visitorteam_formation': None}"
142,"{'localteam_formation': None, 'visitorteam_formation': None}"
143,"{'localteam_formation': None, 'visitorteam_formation': None}"
144,"{'localteam_formation': None, 'visitorteam_formation': None}"
145,"{'localteam_formation': None, 'visitorteam_formation': None}"
146,"{'localteam_formation': None, 'visitorteam_formation': None}"
147,"{'localteam_formation': None, 'visitorteam_formation': None}"
148,"{'localteam_formation': None, 'visitorteam_formation': None}"
149,"{'localteam_formation': None, 'visitorteam_formation': None}"
150,"{'localteam_formation': None, 'visitorteam_formation': None}"
151,"{'localteam_formation': None, 'visitorteam_formation': None}"
152,"{'localteam_formation': None, 'visitorteam_formation': None}"
153,"{'localteam_formation': None, 'visitorteam_formation': None}"
154,"{'localteam_formation': None, 'visitorteam_formation': None}"
155,"{'localteam_formation': None, 'visitorteam_formation': None}"
156,"{'localteam_formation': None, 'visitorteam_formation': None}"
157,"{'localteam_formation': None, 'visitorteam_formation': None}"
158,"{'localteam_formation': None, 'visitorteam_formation': None}"
159,"{'localteam_formation': None, 'visitorteam_formation': None}"
160,"{'localteam_formation': None, 'visitorteam_formation': None}"
161,"{'localteam_formation': None, 'visitorteam_formation': None}"
162,"{'localteam_formation': None, 'visitorteam_formation': None}"
163,"{'localteam_formation': None, 'visitorteam_formation': None}"
164,"{'localteam_formation': None, 'visitorteam_formation': None}"
165,"{'localteam_formation': None, 'visitorteam_formation': None}"
166,"{'localteam_formation': None, 'visitorteam_formation': None}"
167,"{'localteam_formation': None, 'visitorteam_formation': None}"
168,"{'localteam_formation': None, 'visitorteam_formation': None}"
169,"{'localteam_formation': None, 'visitorteam_formation': None}"
170,"{'localteam_formation': None, 'visitorteam_formation': None}"
171,"{'localteam_formation': None, 'visitorteam_formation': None}"
172,"{'localteam_formation': None, 'visitorteam_formation': None}"
173,"{'localteam_formation': None, 'visitorteam_formation': None}"
174,"{'localteam_formation': None, 'visitorteam_formation': None}"
175,"{'localteam_formation': None, 'visitorteam_formation': None}"
176,"{'localteam_formation': None, 'visitorteam_formation': None}"
177,"{'localteam_formation': None, 'visitorteam_formation': None}"
178,"{'localteam_formation': None, 'visitorteam_formation': None}"
179,"{'localteam_formation': None, 'visitorteam_formation': None}"
180,"{'localteam_formation': None, 'visitorteam_formation': None}"
181,"{'localteam_formation': None, 'visitorteam_formation': None}"
182,"{'localteam_formation': None, 'visitorteam_formation': None}"
183,"{'localteam_formation': None, 'visitorteam_formation': None}"
184,"{'localteam_formation': None, 'visitorteam_formation': None}"
185,"{'localteam_formation': None, 'visitorteam_formation': None}"
186,"{'localteam_formation': None, 'visitorteam_formation': None}"
187,"{'localteam_formation': None, 'visitorteam_formation': None}"
188,"{'localteam_formation': None, 'visitorteam_formation': None}"
189,"{'localteam_formation': None, 'visitorteam_formation': None}"
190,"{'localteam_formation': None, 'visitorteam_formation': None}"
191,"{'localteam_formation': None, 'visitorteam_formation': None}"
192,"{'localteam_formation': None, 'visitorteam_formation': None}"
193,"{'localteam_formation': None, 'visitorteam_formation': None}"
194,"{'localteam_formation': None, 'visitorteam_formation': None}"
195,"{'localteam_formation': None, 'visitorteam_formation': None}"
196,"{'localteam_formation': None, 'visitorteam_formation': None}"
197,"{'localteam_formation': None, 'visitorteam_formation': None}"
198,"{'localteam_formation': None, 'visitorteam_formation': None}"
199,"{'localteam_formation': None, 'visitorteam_formation': None}"
200,"{'localteam_formation': None, 'visitorteam_formation': None}"
201,"{'localteam_formation': None, 'visitorteam_formation': None}"
202,"{'localteam_formation': None, 'visitorteam_formation': None}"
203,"{'localteam_formation': None, 'visitorteam_formation': None}"
204,"{'localteam_formation': None, 'visitorteam_formation': None}"
